date,z_Supply Shock and availability risk,z_Transport logistics and chokepoints,z_Demand and macro economy,z_Inventory SPR and refinery,z_OPEC producer policy,z_Geopolitical Normalisation and Peace
01-01-2017,0.370751749,0.184194717,0.461120659,0.026913263,0.600724711,0.401279395
02-01-2017,0.139959091,-0.168404959,0.235712928,-0.375279893,0.605195033,0.247117699
03-01-2017,0.357725855,0,0,0.483364642,0.642266053,0
04-01-2017,0.408715962,0,0.437834585,0.517983656,0.588541697,0.245297085
05-01-2017,0.369908029,-0.618362875,0,0.29165789,0.356601188,-0.131100084
06-01-2017,0.480683533,-0.566849838,0.375901097,0.072358161,0.348978572,0.648875326
07-01-2017,0.332938919,-0.391181183,0.311045302,-0.368128299,0.322765869,0.147661709
08-01-2017,0.227754975,0.38309643,0.490984816,-0.328908756,0.37891304,0.130585478
09-01-2017,-0.535477387,0,0,-0.733744096,-0.158819936,-0.054491793
10-01-2017,-0.246427634,0,0.269591686,-0.207651156,-0.124261181,0.366658439
11-01-2017,0.373385143,0.25336301,0,-0.261578677,0.366304359,0.575362643
12-01-2017,0.284095868,0,0.821634629,-0.327334783,0.609413473,0.504952688
13-01-2017,0.051654887,0,0.034283141,-0.109116016,0.108218333,0
14-01-2017,-0.063211101,0.042962416,-0.172164102,-0.433507274,0.101846387,-0.323878608
15-01-2017,0.285698426,-0.402811145,-0.066584099,-0.067077236,0.271365126,0.337557811
16-01-2017,0.001571144,0.5525504,0.28018288,-0.131564423,-0.101463557,0.386612492
17-01-2017,0.254370106,0.08635635,0,0,0.189409461,0.016885368
18-01-2017,-0.15241633,0.629641285,-0.083101539,-0.569048799,0.239428305,-0.403297937
19-01-2017,0.104647612,0,0.353924961,-0.242897634,0.066263203,0
20-01-2017,0.200694426,0.434941779,0.635395255,-0.051388278,0.442728399,0
21-01-2017,0.170559922,-0.04832483,0.464943345,-0.189070332,0.498038285,0.600925734
22-01-2017,0.392697692,0.156483303,0,0.080607195,0.448395302,0.456308322
23-01-2017,-0.434635654,0,0,-0.184610562,0.026292786,0.089756029
24-01-2017,0.174187737,0.04402049,0.29131337,0.127381315,0.62603692,0.124940719
25-01-2017,-0.064608827,0.096068482,0.22566886,-0.515613233,0.458769142,0.397731499
26-01-2017,-0.116555589,-0.007031426,0.39182089,0.103428844,-0.009446058,0
27-01-2017,-0.336014223,-0.417840452,0.275884514,-0.021221518,0.054984452,0.095117748
28-01-2017,-0.328391787,0.267735481,0.092697079,-0.110607595,-0.059254209,-0.249108899
29-01-2017,-0.079878464,0.537632366,0.174190877,-0.355844054,0.192684818,0.473160238
30-01-2017,-0.40999366,-0.290930608,-0.339326478,-0.327662572,0.14481608,0.487328231
31-01-2017,-0.309939099,0.587742556,-0.145088265,-0.581017985,0.200952576,0
01-02-2017,-0.03155241,0.135521971,0.05914585,-0.271046094,0.084712142,-0.337834926
02-02-2017,0.123210183,-0.031094069,0.220154318,-0.328441037,0.572113182,-0.071040173
03-02-2017,0.496264695,-0.079253725,0.112801836,-0.556065516,0.725390796,0.019683913
04-02-2017,0.493544021,0.103023832,0.229647814,0.094099788,0.340772523,0.08247394
05-02-2017,0.034441796,0.311422115,-0.061919574,-0.111345579,0.278714118,-0.448671618
06-02-2017,0.158174006,0.275450498,0.057713038,-0.547285969,-0.073972893,0
07-02-2017,-0.243875023,0.215465723,-0.008640461,-0.537090127,-0.03665602,0.2508108
08-02-2017,-0.361557502,0,-0.617290981,-0.630370296,0.17024983,-0.001627577
09-02-2017,-0.148502829,-0.054161346,0.060753753,-0.394230415,-0.191887035,-0.448325218
10-02-2017,0.475009319,0.617337557,0.592986179,-0.026479179,0.590375094,0.198730654
11-02-2017,0.199026267,0.203455472,0.423233662,0.077647667,0.537384897,0.022131586
12-02-2017,0.048177215,-0.525056362,0.237825171,0.125685947,0.181552641,-0.098420745
13-02-2017,-0.318805237,0.554589448,-0.109360682,-0.479868468,-0.264264288,0
14-02-2017,-0.190421454,-0.361408787,0.058634024,-0.158419304,0.08243851,0.631787743
15-02-2017,-0.638820602,-0.442666879,-0.169167331,-0.52949844,-0.288477193,0.279637507
16-02-2017,-0.164482872,-0.331030946,0.329188091,-0.343678123,0.018324195,-0.105953419
17-02-2017,-0.214421517,0.469935313,0.054621228,-0.373363418,-0.118555389,0.587596518
18-02-2017,-0.061803633,-0.310334538,0.107157361,-0.318968397,0.092414299,-0.147833765
19-02-2017,-0.039260605,-0.447821153,0,-0.138109338,-0.178091085,0.493885572
20-02-2017,0.092707344,0.026139899,0.39240261,-0.270430468,-0.127310454,0
21-02-2017,0.501068814,-0.281776605,0,-0.206456155,0.560763486,0.577730164
22-02-2017,-0.226640542,-0.194634118,0,-0.356811322,0.400677288,0.002467399
23-02-2017,0.127161291,-0.590001736,0.14603435,0.322901168,-0.067790979,0.011605933
24-02-2017,-0.230961539,-0.399434995,0,-0.294373952,0.549536904,0
25-02-2017,-0.282125227,-0.118268791,0.176804936,-0.860340592,-0.064423454,0
