Date,Open,High,Low,Close,CO1 Comdty - Open Interest,SMAVG (15),,
02-01-2017,,,,,615838,272541,,
03-01-2017,57.05,58.37,55.3,55.47,608912,285310,,
04-01-2017,55.73,56.55,55.33,56.46,603835,300505,,0.017690089
05-01-2017,56.35,57.35,56.01,56.89,598922,317576,,0.007587156
06-01-2017,56.88,57.47,56.28,57.1,592737,335867,,0.003684538
09-01-2017,56.81,57,54.74,54.94,568790,354315,,-0.038562436
10-01-2017,54.95,55.36,53.58,53.64,525652,371013,,-0.023946622
11-01-2017,53.8,55.67,53.7,55.1,491937,388372,,0.026854658
12-01-2017,55.19,56.43,55.01,56.01,447638,406536,,0.01638053
13-01-2017,56,56.21,55.28,55.45,411590,425657,,-0.010048532
16-01-2017,55.64,55.92,55.19,55.86,399648,445058,,0.007366847
17-01-2017,55.74,56.95,55.4,55.47,364194,462645,,-0.007006226
18-01-2017,55.48,55.9,53.77,53.92,327519,480717,,-0.028340867
19-01-2017,54.29,54.77,53.9,54.16,289023,497504,,0.004441162
20-01-2017,54.33,55.8,54.18,55.49,248359,472973,,0.024260196
23-01-2017,55.7,55.75,54.65,55.23,206057,445654,,-0.00469654
24-01-2017,55.42,55.87,55.07,55.44,191153,417804,,0.003795071
25-01-2017,55.24,55.65,54.75,55.08,176043,389284,,-0.006514681
26-01-2017,55.39,56.55,55.21,56.24,127745,357872,,0.020841574
27-01-2017,56.09,56.5,54.86,55.52,105536,325392,,-0.012884931
30-01-2017,55.47,55.7,54.97,55.23,61984,291605,,-0.005237032
31-01-2017,55.25,56,54.9,55.7,51306,259982,,0.008473863
01-02-2017,55.55,56.83,55.36,56.8,542793,263373,,0.019556179
02-02-2017,56.53,57.45,56.33,56.56,527015,268664,,-0.004234304
03-02-2017,56.92,57.3,56.39,56.81,519066,275829,,0.004410345
06-02-2017,56.85,57.13,55.65,55.72,497960,282384,,-0.019373218
07-02-2017,55.91,55.98,54.58,55.05,477283,289923,,-0.012097286
08-02-2017,54.5,55.68,54.44,55.12,465454,299118,,0.001270764
09-02-2017,55.3,55.92,55.23,55.63,443668,309428,,0.009209997
10-02-2017,55.66,56.88,55.59,56.7,427392,321364,,0.019051587
13-02-2017,56.68,56.81,55.41,55.59,396012,334027,,-0.019770882
14-02-2017,55.75,56.46,55.53,55.97,365732,345666,,0.006812504
15-02-2017,55.82,56.25,55.56,55.75,346891,357056,,-0.003938423
16-02-2017,55.74,56.24,55.13,55.65,313775,369458,,-0.001795333
17-02-2017,55.73,55.88,55.1,55.81,289409,381716,,0.002870987
20-02-2017,55.9,56.42,55.7,56.18,246728,394032,,0.006607757
21-02-2017,56.17,57.31,56.1,56.66,207855,404469,,0.008507673
22-02-2017,56.74,57.01,55.64,55.84,169471,379581,,-0.014578036
23-02-2017,56.2,57.26,56.18,56.58,134533,353415,,0.013165107
24-02-2017,56.4,56.66,55.74,55.99,105695,325857,,-0.010482463
27-02-2017,55.96,56.77,55.86,55.93,53740,296243,,-0.001072195
28-02-2017,56.02,56.15,55.23,55.59,36153,266834,,-0.00609758
01-03-2017,56.45,57.05,56.24,56.36,562464,273301,,0.013756358
