Date,Open,High,Low,Close,CO1 Comdty - Open Interest,SMAVG (15),target_return,parkinson_var,target_vol_parkinson,sigmahat_pre_m,target_jump_flag
2017-01-02,55.55,56.83,55.36,56.8,542793.0,263373.0,,0.0002477140405602558,0.01573893390799567,,
2017-01-03,56.45,57.05,56.24,56.36,562464.0,273301.0,-0.007776638696626037,7.375241132280985e-05,0.0085879224101531,,
2017-01-05,51.88,51.97,51.22,51.52,569644.0,307590.0,-0.0897896052343814,7.621441770273351e-05,0.008730086924122435,,
2017-01-06,51.17,51.45,50.23,50.63,550042.0,258682.0,-0.017425795814280498,0.00020771354086219167,0.014412270496427399,,
2017-01-08,52.7,52.93,50.88,51.78,537117.0,304652.0,0.02245968834157397,0.0005627516868345518,0.023722387882221127,,
2017-01-09,52.84,52.95,52.24,52.75,537015.0,248901.0,0.01855979803278407,6.57287717605518e-05,0.00810732827511948,,
2017-01-11,61.07,61.7,60.0,60.49,661419.0,332788.0,0.13691428976264675,0.0002815449390282326,0.016779300909997193,,
2017-01-12,62.74,64.32,62.59,63.73,629824.0,298935.0,0.05217734720738054,0.00026811978515760087,0.016374363656570013,,
2017-02-01,,,,,615838.0,272541.0,,,,,
2017-02-02,56.53,57.45,56.33,56.56,527015.0,268664.0,,0.00013979987425187838,0.011823699685457103,,
2017-02-03,56.31,56.44,55.03,55.08,541374.0,279815.0,-0.026515347727863237,0.0002308570226061311,0.015193979814588773,,
2017-02-05,51.39,52.16,50.14,50.46,582193.0,310951.0,-0.0876057306475424,0.0005626507688427995,0.023720260724595744,,
2017-02-06,50.23,50.52,48.95,49.95,536090.0,264287.0,-0.010158438118349267,0.0003594692490324935,0.01895967428603386,,
2017-02-08,51.38,52.43,51.18,52.36,499097.0,303542.0,0.04712043594713666,0.00021000680209039963,0.014491611438704794,,
2017-02-10,56.73,56.76,55.5,56.12,660801.0,269105.0,0.06934931419256074,0.00018176155498448286,0.01348189730655455,,
2017-02-11,60.5,60.86,60.02,60.62,638854.0,339008.0,0.0771326163953967,6.966877749268757e-05,0.008346782463481816,,
2017-03-01,57.05,58.37,55.3,55.47,608912.0,285310.0,-0.08878253756251375,0.001052860491203589,0.03244781180917427,,
2017-03-02,56.92,57.3,56.39,56.81,519066.0,275829.0,0.023870032501892346,9.243391347142639e-05,0.009614255741940006,,
2017-03-03,55.18,55.95,55.09,55.9,521037.0,286058.0,-0.016147986407982096,8.654259289604508e-05,0.009302827145338404,,
2017-03-04,53.62,53.74,53.03,53.12,570208.0,294060.0,-0.05101087499287482,6.379777816862451e-05,0.007987351135928888,,
2017-03-05,50.99,51.14,50.2,50.79,565150.0,314834.0,-0.044854020355024726,0.0001241347454275871,0.011141577331221423,,
2017-03-07,48.95,49.71,48.54,49.68,584159.0,260669.0,-0.022097047187930485,0.0002046078090976425,0.014304118606109308,,
2017-03-08,52.24,52.89,51.77,52.01,479629.0,302278.0,0.045833570159758086,0.0001652274809023007,0.012854084210954147,,
2017-03-10,56.1,56.4,55.7,56.0,645339.0,282051.0,0.07391568295016837,5.6256237632296346e-05,0.0075004158306254155,,
2017-03-11,60.88,62.23,60.6,62.07,635198.0,345286.0,0.1029110896904113,0.00025409249338544825,0.01594027896197078,,
2017-04-01,55.73,56.55,55.33,56.46,603835.0,300505.0,-0.09473035760021808,0.00017156303260289243,0.01309820722858256,,
2017-04-04,53.18,54.38,52.73,54.17,577763.0,303650.0,-0.04140517315553538,0.00034241367658666865,0.01850442316276486,,
2017-04-05,50.59,50.73,48.16,48.38,564595.0,320969.0,-0.11304074448792623,0.0009748361764745986,0.031222366605922085,,
2017-04-07,49.63,49.9,49.29,49.61,589693.0,271284.0,0.025105921131076236,5.456439933647379e-05,0.007386771915828577,,
2017-04-08,51.97,52.52,51.43,52.42,465687.0,302077.0,0.05509577158230261,0.0001586391533694912,0.012595203585869155,,
2017-04-09,52.85,52.85,51.99,52.34,523173.0,256672.0,-0.0015273007932603555,9.708159424393889e-05,0.0098529992511894,,
2017-04-10,55.67,56.2,55.38,55.8,616188.0,295897.0,0.06401297228526515,7.791932232085197e-05,0.008827192210485278,,
2017-04-12,63.5,63.68,62.31,62.45,589810.0,305899.0,0.11259236718432142,0.00017059950138080486,0.013061374406271526,,
2017-05-01,56.35,57.35,56.01,56.89,598922.0,317576.0,-0.09324665780903008,0.00020160668084040235,0.014198826741685468,,
2017-05-04,54.22,55.09,53.97,54.36,570776.0,313838.0,-0.045490989479613386,0.0001521633755619564,0.012335451980448726,,
2017-05-05,48.45,49.63,46.64,49.1,566370.0,330299.0,-0.10176955448246794,0.0013925614790051978,0.0373170400622182,,
2017-05-06,49.87,50.74,49.04,49.47,537060.0,271206.0,0.007507390439142281,0.0004188605286628072,0.020466082396560586,,
2017-05-07,49.67,49.84,47.0,47.79,576509.0,283860.0,-0.034550012649550155,0.0012415115444978349,0.035235089676313225,,
2017-05-09,52.3,53.66,52.09,53.38,511097.0,264626.0,0.11061973138631132,0.00031803646242030474,0.017833576826321317,,
2017-05-10,55.77,57.24,55.7,57.0,630303.0,313713.0,0.06561512385817192,0.0002682713223477871,0.016378990272534723,,
2017-05-12,62.45,63.15,62.12,62.86,577330.0,314424.0,0.09785876353487133,9.753812612913379e-05,0.009876139231963763,,
2017-06-01,56.88,57.47,56.28,57.1,592737.0,335867.0,-0.096105914707457,0.00015790553004762546,0.012566046715161672,,
2017-06-02,56.85,57.13,55.65,55.72,497960.0,282384.0,-0.02446496775035989,0.0002484755456403687,0.015763107106163073,,
2017-06-03,55.8,56.25,55.32,56.01,521062.0,294395.0,0.005191097310135895,0.00010024568493898255,0.010012276711067396,,
2017-06-04,54.13,55.0,54.02,54.89,561359.0,324822.0,-0.02019906365994295,0.00011658367233964844,0.01079739192303625,,
2017-06-06,49.57,50.3,49.0,50.12,547092.0,281581.0,-0.09091105253393028,0.0002472933131123061,0.015725562410047727,,
2017-06-07,48.28,49.18,47.77,48.11,566537.0,298037.0,-0.04093007431650486,0.00030519568081818137,0.017469850623808476,,
2017-06-09,53.16,54.31,53.09,54.2,508905.0,274147.0,0.11919085273423802,0.000186175701721231,0.013644621714112523,,
2017-06-10,56.99,57.28,55.13,55.62,612045.0,332109.0,0.02586194036021805,0.000527894935605357,0.02297596430196907,,
2017-06-11,62.27,64.44,62.08,64.27,611022.0,352182.0,0.14455011057737632,0.0005020892613860443,0.022407348379182315,,
2017-06-12,62.64,62.93,61.13,61.22,540993.0,321770.0,-0.04861902586592848,0.0003037504648074629,0.017428438392680594,,
2017-07-02,55.91,55.98,54.58,55.05,477283.0,289923.0,-0.10623207034857707,0.00023135611272283874,0.015210394890430648,,
2017-07-03,55.95,56.65,55.56,55.92,507579.0,303851.0,0.015680234756865197,0.00013614187618203412,0.011667985095209632,,
2017-07-04,54.88,56.08,54.57,55.24,551460.0,336787.0,-0.012234769384463107,0.00026870733435853747,0.016392294969238975,,
2017-07-06,49.97,50.14,47.96,48.06,529176.0,292444.0,-0.13923709823276864,0.0007126766331421635,0.026696004066941618,,
2017-07-07,47.76,47.76,46.28,46.71,556435.0,312250.0,-0.02849195579430619,0.00035739168858488256,0.0189048059652799,,
2017-07-08,52.39,52.53,51.37,52.37,448347.0,303107.0,0.1143756337773798,0.00017984381785305652,0.013410586036898481,,
2017-07-09,54.13,54.67,53.89,54.49,495289.0,284236.0,0.03968329030361062,7.447988921325304e-05,0.008630173185588633,,
2017-07-11,64.12,64.65,63.5,63.69,578023.0,359223.0,0.15601036578826744,0.00011618667284422928,0.010778992199840822,,
2017-07-12,61.3,62.26,61.15,62.2,515543.0,329971.0,-0.023672564638141047,0.00011671944544917846,0.010803677403975854,,
2017-08-02,54.5,55.68,54.44,55.12,465454.0,299118.0,-0.12084237303973033,0.00018294570477425415,0.013525742300304785,,
2017-08-03,55.63,55.77,52.93,53.11,509918.0,314720.0,-0.0371473922710952,0.0009852576768490696,0.03138881451805833,,
2017-08-05,49.27,49.92,48.48,49.34,539551.0,339367.0,-0.07363012333309715,0.0003090091484259769,0.017578656047206136,,
2017-08-06,48.26,48.6,47.56,47.86,505498.0,304374.0,-0.030455028620983704,0.0001687664738530044,0.012991015120189969,,
2017-08-08,52.24,52.73,51.82,52.14,443688.0,306321.0,0.08565232602512873,0.00010930277411131382,0.010454796703490404,,
2017-08-09,54.54,54.87,53.57,53.78,479765.0,294692.0,0.03096924233536269,0.0002073594530381568,0.01439998100825681,,
2017-08-11,63.69,64.64,62.95,63.49,544098.0,366554.0,0.16598076234164028,0.00025314273827545773,0.015910460027147477,,
2017-08-12,62.08,63.64,62.01,63.4,508521.0,338895.0,-0.0014185517391789304,0.0002428138692401828,0.015582485977538462,,
2017-09-01,56.81,57.0,54.74,54.94,568790.0,354315.0,-0.14322218077605164,0.000590326857900506,0.0242966429347864,,
2017-09-02,55.3,55.92,55.23,55.63,443668.0,309428.0,0.012480943420073665,5.55987393137197e-05,0.007456456216844548,0.017286975793210275,0.0
2017-09-03,53.49,53.86,51.5,52.19,477775.0,325653.0,-0.06383171843188018,0.0007240896154861796,0.026908913309276902,0.017246338157013756,1.0
2017-09-05,49.44,49.72,48.39,48.73,505820.0,349753.0,-0.0685960487999071,0.0002651578450473045,0.016283668046460063,0.017483041012385007,1.0
2017-09-06,47.79,48.56,47.4,48.15,489117.0,318271.0,-0.011973718611280049,0.0002108396808202176,0.01452031958395605,0.017340660530791342,0.0
2017-09-08,51.99,52.85,51.81,52.7,429322.0,311104.0,0.09029431730318205,0.0001424650539622819,0.011935872568115072,0.017269086489271515,1.0
2017-09-10,55.5,55.98,55.06,55.79,589444.0,351674.0,0.05697918631012033,9.904012119882135e-05,0.009951890332937826,0.017236462872985418,1.0
2017-09-11,63.52,64.25,63.26,63.93,520907.0,377391.0,0.13619409292119844,8.697088518200127e-05,0.009325818204425887,0.017196422936433912,1.0
2017-10-01,54.95,55.36,53.58,53.64,525652.0,371013.0,-0.17549367636515756,0.00038522734441581843,0.019627209287512538,0.017204805441219,1.0
2017-10-02,55.66,56.88,55.59,56.7,427392.0,321364.0,0.05547915232022893,0.00018980981260057432,0.013777148202751334,0.016878332594100324,1.0
2017-10-03,52.33,53.02,51.14,51.37,477077.0,338164.0,-0.09871986625453033,0.0004700917494782372,0.021681599329344624,0.016926341684168553,1.0
2017-10-04,55.19,56.05,55.19,55.98,531779.0,348884.0,0.08594013960813118,8.623166790412015e-05,0.009286100791188955,0.017114132427682636,1.0
2017-10-05,48.95,50.63,48.81,50.22,494318.0,361258.0,-0.10858113035786854,0.0004833837925124216,0.02198599082398657,0.01712505261056201,1.0
2017-10-07,46.84,47.38,46.11,46.88,543954.0,327442.0,-0.06882220846068154,0.0002662594887248032,0.0163174596284104,0.017298985838268013,1.0
2017-10-08,52.72,53.64,51.67,51.9,423798.0,318510.0,0.1017276449030855,0.0005049740944216332,0.02247162865529851,0.01732865946997584,1.0
2017-10-10,55.78,56.91,55.73,56.61,575608.0,370983.0,0.08686685787672532,0.00015833796007749985,0.012583241238945546,0.017491280187140072,1.0
2017-10-11,63.8,64.27,63.35,63.52,515186.0,390711.0,0.11516916889031226,7.497694828360983e-05,0.008658923044097912,0.017539847337585127,1.0
2017-11-01,53.8,55.67,53.7,55.1,491937.0,388372.0,-0.14220510078001158,0.0004681710075459995,0.02163725970510128,0.01745454054224177,1.0
2017-11-04,56.08,56.3,55.45,56.23,506916.0,360302.0,0.020300706145241598,8.347070430907895e-05,0.00913623031173574,0.01759558046186068,0.0
2017-11-05,50.28,51.16,50.25,50.77,476452.0,374411.0,-0.10214479334480764,0.00011617670980828426,0.010778530039308898,0.01747251371684071,1.0
2017-11-07,46.99,48.21,46.29,47.52,522905.0,343193.0,-0.06615495390491333,0.000595707294804476,0.024407115659259616,0.017058069775741966,1.0
2017-11-08,51.94,52.28,51.3,52.1,422130.0,329202.0,0.09201427370493187,0.00012915189877475578,0.01136450169496031,0.01732041548958574,1.0
2017-11-09,53.82,54.14,53.04,53.84,460626.0,306839.0,0.03285173657715079,0.00015197176304697338,0.012327682793087004,0.017306222536666863,0.0
2017-11-10,56.56,57.09,56.14,56.94,555120.0,390030.0,0.05598139651341949,0.00010155916373913555,0.010077656659121482,0.017332633228547625,1.0
2017-11-12,63.29,64.93,62.99,64.69,455375.0,346836.0,0.12760854820600187,0.00033186977095741265,0.018217293184153695,0.017343995271918308,1.0
2017-12-01,55.19,56.43,55.01,56.01,447638.0,406536.0,-0.144076383834153,0.00023426965280067384,0.01530586988056131,0.017421309073046187,1.0
2017-12-04,56.28,56.65,55.5,55.86,472571.0,371116.0,-0.0026816857047098352,0.00015170577324176508,0.012316889755200584,0.01743692612488239,0.0
2017-12-05,50.76,51.09,50.33,50.84,452016.0,388883.0,-0.09416511419577756,8.101599491439263e-05,0.00900088856249163,0.01743670742942226,1.0
2017-12-06,48.06,49.15,48.01,48.29,452299.0,331823.0,-0.051458946435802844,0.00019863194300515267,0.014093684507791164,0.01679820450458191,1.0
2017-12-07,48.21,48.79,47.35,47.74,515738.0,359858.0,-0.01145487897476638,0.0003237100989032257,0.017991945389624373,0.0166885948524772,0.0
2017-12-09,53.77,54.44,53.42,54.27,451154.0,320905.0,0.1282019671646295,0.00012902680521241155,0.011358996663984525,0.016223825300779662,1.0
2017-12-10,56.74,56.83,55.88,56.25,545548.0,410641.0,0.03583445300921584,0.00010249847873228304,0.010124153235322104,0.01612644866164753,0.0
2017-12-12,64.66,65.83,63.07,63.34,385663.0,352866.0,0.11871100002596435,0.0006616367746033168,0.025722301114078357,0.016040556901486567,1.0
2018-01-02,69.0,69.97,68.81,69.65,619898.0,310424.0,0.09496565911532073,0.00010079917551507327,0.01003987925799276,0.01633098618733923,1.0
2018-01-03,64.57,65.04,63.19,63.83,529687.0,250781.0,-0.08725940095784868,0.0003003301828881411,0.01733003701346714,0.016301820060211747,1.0
2018-01-05,74.65,74.98,72.74,73.13,616068.0,327790.0,0.13601538001489377,0.0003317863839348449,0.0182150043627457,0.01632830613473583,1.0
2018-01-06,77.71,77.95,76.35,76.79,540818.0,291053.0,0.04883574405959301,0.00015513642711872136,0.012455377437826657,0.01644605098130195,0.0
2018-01-08,74.07,74.12,72.13,72.39,452386.0,242255.0,-0.059006255037402866,0.0002671422329888518,0.016344486317680706,0.01646557435355862,1.0
2018-01-10,82.79,85.45,82.55,84.98,585925.0,253584.0,0.16034776638161574,0.0004299700986656501,0.020735720355600142,0.016475616957305213,1.0
2018-01-11,74.69,74.99,72.56,72.89,494632.0,280751.0,-0.15346447929254392,0.0003913696971321289,0.019783065918409334,0.016538607189078354,1.0
2018-02-01,66.55,67.29,66.24,66.57,631709.0,285590.0,-0.09069742978150952,8.920995947433309e-05,0.009445102406767917,0.016641677429819063,1.0
2018-02-02,70.0,70.02,67.96,68.58,598047.0,320775.0,0.029746921422161954,0.00032161866114236744,0.017933729705289066,0.016420536270454106,0.0
2018-02-03,64.07,64.64,63.2,64.37,508221.0,256973.0,-0.06335326097024918,0.0001830639110662997,0.01353011127324161,0.016328691560315058,1.0
2018-02-04,69.32,70.04,67.49,67.64,614545.0,281609.0,0.04955183796585505,0.000496088962251025,0.022273054623266765,0.016266982679942567,1.0
2018-02-05,73.28,73.63,72.38,73.36,601840.0,335532.0,0.08117930391782924,0.00010574274589499485,0.01028312918789776,0.016402040716580194,1.0
2018-02-07,78.55,78.95,77.16,77.3,522300.0,279655.0,0.052315127645167436,0.00018969558433939556,0.013773002008981032,0.016386588647333035,1.0
2018-02-08,72.42,73.75,71.84,73.45,435142.0,245445.0,-0.05108905297348976,0.00024832932941000257,0.01575846849823937,0.016346358156989736,1.0
2018-02-10,84.95,85.38,84.31,84.8,564273.0,264562.0,0.1436906401779705,5.7364221902180856e-05,0.007573917209884253,0.016107895680929758,1.0
2018-02-11,72.75,73.5,72.16,72.83,477269.0,283707.0,-0.15216758456803348,0.00012210347629118833,0.011050044175983566,0.015951922940187196,1.0
2018-03-01,66.54,68.03,66.4,67.84,619637.0,296541.0,-0.07097596674617623,0.0002121289393500861,0.014564646900975186,0.015921730636574635,1.0
2018-03-04,67.63,68.46,67.62,68.12,611532.0,295564.0,0.004118864310839854,5.4973772679864146e-05,0.007414430030680993,0.01599361301580269,0.0
2018-03-05,73.07,74.09,72.47,73.62,590654.0,343377.0,0.07764587215638752,0.00017628243138808513,0.013277139427907094,0.015961686699610223,1.0
2018-03-07,77.4,78.55,76.67,77.76,504212.0,283364.0,0.054710432201308556,0.00021165929977243515,0.014548515380355315,0.01599275331920145,1.0
2018-03-08,73.37,73.73,72.48,73.21,419656.0,249421.0,-0.060295136493632384,0.00010545363961561652,0.010269062255903239,0.016007708100957654,1.0
2018-03-09,77.69,78.44,77.3,78.15,492697.0,217112.0,0.06529803320893457,7.73035457429809e-05,0.008792243498844929,0.015542950750256778,1.0
2018-03-10,84.79,86.74,84.01,86.29,554769.0,276003.0,0.09908365965273092,0.0003688522420496976,0.01920552634138668,0.015418221621840542,1.0
2018-03-12,59.98,62.6,59.85,61.69,401319.0,221721.0,-0.3355918732986689,0.000727894452002316,0.02697951912103542,0.015525988560586712,1.0
2018-04-01,67.89,68.27,67.62,68.07,600783.0,310883.0,0.09841474423831276,3.300903889365898e-05,0.005745349327382886,0.01585453190988787,1.0
2018-04-04,68.15,68.28,66.69,68.02,615391.0,311202.0,-0.0007348078808107061,0.000200232456078003,0.014150351800503159,0.015762624839978624,0.0
2018-04-05,73.74,75.08,73.24,74.87,577053.0,351492.0,0.09595149666354441,0.00022205231881114432,0.014901420026666732,0.015734627539579285,1.0
2018-04-06,76.66,76.95,75.2,75.29,531339.0,296611.0,0.005594047619436715,0.00019087323205350736,0.01381568789650039,0.01572362801546777,0.0
2018-04-07,77.89,78.28,77.61,78.24,501424.0,287919.0,0.03843370186453132,2.664974013265019e-05,0.005162338630180142,0.01551047766956323,0.0
2018-04-09,78.19,79.72,77.44,78.17,460796.0,225922.0,-0.0008950834943233232,0.0003036834572158099,0.017426515923035502,0.015494916399204453,0.0
2018-04-10,85.99,86.43,84.14,84.58,541125.0,288595.0,0.07881188981210396,0.00026007128012464056,0.01612672564796216,0.015267143312153356,1.0
2018-04-12,61.9,63.58,61.24,62.08,387209.0,225358.0,-0.30927395616937936,0.0005071537813445792,0.02252007507413284,0.015264366637099114,1.0
2018-05-01,67.97,68.11,67.26,67.62,599424.0,326758.0,0.08547992140477678,5.6882535694739193e-05,0.007542051159647433,0.015425286291471456,1.0
2018-05-02,68.15,68.46,66.9,67.62,560630.0,328791.0,0.0,0.0001916379437381748,0.013843335715721656,0.01537898182160959,0.0
