feature,mean_abs_shap
jump_lag1,0.6747173235833066
ret_lag1,0.4095851472280558
jump_lag4,0.20316766361588412
vol_lag3,0.18352947656282234
vol_lag1,0.16359770914666283
imputed_locf5_decay__z_OPEC producer policy,0.12180006576394573
ret_lag2,0.12076684932034572
SMAVG (15),0.0926308459421457
ret_lag4,0.08906763824589044
vol_lag2,0.04664184640441994
CO1 Comdty - Open Interest,0.04469166417353
vol_lag4,0.03293188826578841
ret_lag3,0.023260939753279815
jump_lag2,0.008411402298698148
jump_lag3,0.0026360048813003937
