model,task,task_type,target_col,scenario,channel_variant,feature_count,features,notes,n_train,n_test,walkforward_folds,walkforward_used_gpu_any,walkforward_n_train_total,walkforward_n_test_total,reference_used_gpu,reference_best_iteration,reference_best_score,reference_model_path,MAE,MSE,RMSE,Accuracy,Precision,Recall,F1,PositiveRate,PredictedPositiveRate,ROC_AUC,PR_AUC
catboost,return,regression,target_return,raw__market_only,raw,6,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15),"channel_variant=raw, no_news_features",699,200,4,False,699,200,False,222,566.6168731498361,artifacts/results/tree_model_walkforward_catboost_full/reference_model__catboost__return__raw__market_only.json,0.043777237131636684,0.0036021738269750637,0.06001811249093946,,,,,,,,
catboost,return,regression,target_return,raw__market_plus_global_sentiment,raw,7,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15) | Global_Sentiment,"channel_variant=raw, global_sentiment_only",699,200,4,False,699,200,False,190,561.3166650382062,artifacts/results/tree_model_walkforward_catboost_full/reference_model__catboost__return__raw__market_plus_global_sentiment.json,0.04453578778416706,0.003594700606921862,0.05995582212697831,,,,,,,,
catboost,return,regression,target_return,raw__market_plus_top3_channels,raw,9,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15) | raw__z_Demand and macro economy | raw__z_Inventory SPR and refinery | raw__z_Supply Shock and availability risk,"channel_variant=raw, channels=3",699,200,4,False,699,200,False,215,536.6708666432697,artifacts/results/tree_model_walkforward_catboost_full/reference_model__catboost__return__raw__market_plus_top3_channels.json,0.043782090903502706,0.0034427455650320794,0.05867491427375143,,,,,,,,
catboost,return,regression,target_return,raw__market_plus_all6_channels,raw,12,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15) | raw__z_Supply Shock and availability risk | raw__z_Transport logistics and chokepoints | raw__z_Demand and macro economy | raw__z_Inventory SPR and refinery | raw__z_OPEC producer policy | raw__z_Geopolitical Normalisation and Peace,"channel_variant=raw, channels=6",699,200,4,False,699,200,False,318,532.6967546186161,artifacts/results/tree_model_walkforward_catboost_full/reference_model__catboost__return__raw__market_plus_all6_channels.json,0.0433076857170869,0.0033061905296113848,0.05749948286386048,,,,,,,,
catboost,return,regression,target_return,raw__single__supply_shock_and_availability_risk,raw,7,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15) | raw__z_Supply Shock and availability risk,"channel_variant=raw, single_channel=z_Supply Shock and availability risk",699,200,4,False,699,200,False,257,550.7621934257438,artifacts/results/tree_model_walkforward_catboost_full/reference_model__catboost__return__raw__single__supply_shock_and_availability_risk.json,0.04457218938533597,0.0036192759980901014,0.06016041886564705,,,,,,,,
catboost,return,regression,target_return,raw__single__transport_logistics_and_chokepoints,raw,7,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15) | raw__z_Transport logistics and chokepoints,"channel_variant=raw, single_channel=z_Transport logistics and chokepoints",699,200,4,False,699,200,False,187,576.2876998425877,artifacts/results/tree_model_walkforward_catboost_full/reference_model__catboost__return__raw__single__transport_logistics_and_chokepoints.json,0.04540823714299842,0.0036907652327559048,0.0607516685594388,,,,,,,,
catboost,return,regression,target_return,raw__single__demand_and_macro_economy,raw,7,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15) | raw__z_Demand and macro economy,"channel_variant=raw, single_channel=z_Demand and macro economy",699,200,4,False,699,200,False,158,547.0072550155259,artifacts/results/tree_model_walkforward_catboost_full/reference_model__catboost__return__raw__single__demand_and_macro_economy.json,0.0453940703825188,0.0037594449045824036,0.06131431239590316,,,,,,,,
catboost,return,regression,target_return,raw__single__inventory_spr_and_refinery,raw,7,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15) | raw__z_Inventory SPR and refinery,"channel_variant=raw, single_channel=z_Inventory SPR and refinery",699,200,4,False,699,200,False,223,564.095942248668,artifacts/results/tree_model_walkforward_catboost_full/reference_model__catboost__return__raw__single__inventory_spr_and_refinery.json,0.044583967345070565,0.0035149346941195135,0.059286884672071556,,,,,,,,
catboost,return,regression,target_return,raw__single__opec_producer_policy,raw,7,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15) | raw__z_OPEC producer policy,"channel_variant=raw, single_channel=z_OPEC producer policy",699,200,4,False,699,200,False,189,559.0232695153156,artifacts/results/tree_model_walkforward_catboost_full/reference_model__catboost__return__raw__single__opec_producer_policy.json,0.045294459552726554,0.003762557986613646,0.06133969340169256,,,,,,,,
catboost,return,regression,target_return,raw__single__geopolitical_normalisation_and_peace,raw,7,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15) | raw__z_Geopolitical Normalisation and Peace,"channel_variant=raw, single_channel=z_Geopolitical Normalisation and Peace",699,200,4,False,699,200,False,307,556.4318798673797,artifacts/results/tree_model_walkforward_catboost_full/reference_model__catboost__return__raw__single__geopolitical_normalisation_and_peace.json,0.044598545588987994,0.00359908058388411,0.059992337709778486,,,,,,,,
