model,task,task_type,target_col,scenario,channel_variant,feature_count,features,notes,n_train,n_test,walkforward_folds,walkforward_used_gpu_any,walkforward_n_train_total,walkforward_n_test_total,reference_used_gpu,reference_best_iteration,reference_best_score,reference_model_path,MAE,MSE,RMSE,Accuracy,Precision,Recall,F1,PositiveRate,PredictedPositiveRate,ROC_AUC,PR_AUC
lightgbm,return,regression,target_return,raw__market_only,raw,6,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15),"channel_variant=raw, no_news_features",699,200,4,False,699,200,False,116,581.2832958326644,artifacts/results/tree_model_walkforward_lightgbm_full/reference_model__lightgbm__return__raw__market_only.json,0.045334768394821534,0.003746773358435737,0.06121089248194096,,,,,,,,
lightgbm,return,regression,target_return,raw__market_plus_global_sentiment,raw,7,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15) | Global_Sentiment,"channel_variant=raw, global_sentiment_only",699,200,4,False,699,200,False,113,570.245762775599,artifacts/results/tree_model_walkforward_lightgbm_full/reference_model__lightgbm__return__raw__market_plus_global_sentiment.json,0.045542811317020176,0.0036265353267620182,0.06022072173896638,,,,,,,,
lightgbm,return,regression,target_return,raw__market_plus_top3_channels,raw,9,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15) | raw__z_Demand and macro economy | raw__z_Inventory SPR and refinery | raw__z_Supply Shock and availability risk,"channel_variant=raw, channels=3",699,200,4,False,699,200,False,117,557.2837347883745,artifacts/results/tree_model_walkforward_lightgbm_full/reference_model__lightgbm__return__raw__market_plus_top3_channels.json,0.045575119127361695,0.003701568463183597,0.060840516624890664,,,,,,,,
lightgbm,return,regression,target_return,raw__market_plus_all6_channels,raw,12,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15) | raw__z_Supply Shock and availability risk | raw__z_Transport logistics and chokepoints | raw__z_Demand and macro economy | raw__z_Inventory SPR and refinery | raw__z_OPEC producer policy | raw__z_Geopolitical Normalisation and Peace,"channel_variant=raw, channels=6",699,200,4,False,699,200,False,117,567.174921252701,artifacts/results/tree_model_walkforward_lightgbm_full/reference_model__lightgbm__return__raw__market_plus_all6_channels.json,0.04678379394375653,0.0038179280528666624,0.061789384629292614,,,,,,,,
lightgbm,return,regression,target_return,raw__single__supply_shock_and_availability_risk,raw,7,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15) | raw__z_Supply Shock and availability risk,"channel_variant=raw, single_channel=z_Supply Shock and availability risk",699,200,4,False,699,200,False,110,578.8280255187543,artifacts/results/tree_model_walkforward_lightgbm_full/reference_model__lightgbm__return__raw__single__supply_shock_and_availability_risk.json,0.04496519560123071,0.00370323489442245,0.0608542101618487,,,,,,,,
lightgbm,return,regression,target_return,raw__single__transport_logistics_and_chokepoints,raw,7,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15) | raw__z_Transport logistics and chokepoints,"channel_variant=raw, single_channel=z_Transport logistics and chokepoints",699,200,4,False,699,200,False,92,587.8030446952681,artifacts/results/tree_model_walkforward_lightgbm_full/reference_model__lightgbm__return__raw__single__transport_logistics_and_chokepoints.json,0.045593308991305294,0.0036961276611499738,0.06079578654109159,,,,,,,,
lightgbm,return,regression,target_return,raw__single__demand_and_macro_economy,raw,7,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15) | raw__z_Demand and macro economy,"channel_variant=raw, single_channel=z_Demand and macro economy",699,200,4,False,699,200,False,107,563.5282306616446,artifacts/results/tree_model_walkforward_lightgbm_full/reference_model__lightgbm__return__raw__single__demand_and_macro_economy.json,0.046007141182136085,0.00370853164091189,0.06089771457872528,,,,,,,,
lightgbm,return,regression,target_return,raw__single__inventory_spr_and_refinery,raw,7,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15) | raw__z_Inventory SPR and refinery,"channel_variant=raw, single_channel=z_Inventory SPR and refinery",699,200,4,False,699,200,False,101,574.212095726472,artifacts/results/tree_model_walkforward_lightgbm_full/reference_model__lightgbm__return__raw__single__inventory_spr_and_refinery.json,0.044841304047064254,0.003636661336034128,0.06030473726030259,,,,,,,,
lightgbm,return,regression,target_return,raw__single__opec_producer_policy,raw,7,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15) | raw__z_OPEC producer policy,"channel_variant=raw, single_channel=z_OPEC producer policy",699,200,4,False,699,200,False,99,574.4568137592786,artifacts/results/tree_model_walkforward_lightgbm_full/reference_model__lightgbm__return__raw__single__opec_producer_policy.json,0.04562523475618749,0.0037679412883641194,0.061383558778911794,,,,,,,,
lightgbm,return,regression,target_return,raw__single__geopolitical_normalisation_and_peace,raw,7,ret_lag1 | ret_lag2 | ret_lag3 | ret_lag4 | CO1 Comdty - Open Interest | SMAVG (15) | raw__z_Geopolitical Normalisation and Peace,"channel_variant=raw, single_channel=z_Geopolitical Normalisation and Peace",699,200,4,False,699,200,False,111,577.6078448507516,artifacts/results/tree_model_walkforward_lightgbm_full/reference_model__lightgbm__return__raw__single__geopolitical_normalisation_and_peace.json,0.04468647468756092,0.0036705572502601144,0.06058512400135956,,,,,,,,
